#######################PARAMETERS######################## Dataset selection
	maxTrain: True
	max_trainData: 200
# train/test parameters	model_name: C3F4_CNN
	optimizer: SGD
	epochs: 50
	batch_size: 100
	seed: 80
	lr: 0.01
	weight_decay: 0.0001
# data preparation parameters
	dataset: crop_43
	patch_size: 29
	band: 63
	num_classes: 15
	train_percent: 0.75
	val_percent: 0.0
	test_percent: 0.25

#############################  MODEL  ###################################

C3F4_CNN(
  (conv1): Sequential(
    (0): Conv2d(63, 360, kernel_size=(7, 7), stride=(1, 1), padding=(3, 3))
    (1): Dropout(p=0.2)
    (2): ReLU(inplace)
  )
  (conv2): Sequential(
    (0): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=True)
    (1): Conv2d(360, 350, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
    (2): Dropout(p=0.2)
    (3): ReLU(inplace)
  )
  (conv3): Sequential(
    (0): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=True)
    (1): Conv2d(350, 350, kernel_size=(1, 1), stride=(1, 1))
    (2): ReLU(inplace)
  )
  (fc1): Sequential(
    (0): Linear(in_features=22400, out_features=2048, bias=True)
    (1): ReLU(inplace)
  )
  (fc2): Sequential(
    (0): Linear(in_features=2048, out_features=2048, bias=True)
    (1): ReLU(inplace)
  )
  (fc3): Sequential(
    (0): Linear(in_features=2048, out_features=1024, bias=True)
    (1): ReLU(inplace)
  )
  (fc4): Sequential(
    (0): Linear(in_features=1024, out_features=15, bias=True)
  )
  (Softmax): Softmax()
)
##############################################################################

Epoch 1/50| Time: 6.03s| Loss: 2.3555
Epoch 2/50| Time: 5.83s| Loss: 1.1720
Epoch 3/50| Time: 6.30s| Loss: 0.6538
Epoch 4/50| Time: 5.98s| Loss: 0.4470
Epoch 5/50| Time: 5.97s| Loss: 0.3426
Epoch 6/50| Time: 6.01s| Loss: 0.3052
Epoch 7/50| Time: 6.08s| Loss: 0.2486
Epoch 8/50| Time: 7.65s| Loss: 0.2700
Epoch 9/50| Time: 6.04s| Loss: 0.2291
Epoch 10/50| Time: 8.01s| Loss: 0.1754
>>--/home/xueyiming/TEST/snapshots/patch_size29/C3F4_CNN_2019-02-21_20-38-22/C3F4_CNN10.model model saved--<<
>>--/home/xueyiming/TEST/snapshots/patch_size29/C3F4_CNN_2019-02-21_20-38-22/C3F4_CNN10.model model loaded--<<
	Batch_idx: 0 | Loss: 1.0469 | Accuracy: 54
	Batch_idx: 50 | Loss: 0.9397 | Accuracy: 57
	Batch_idx: 100 | Loss: 0.9685 | Accuracy: 56
	Batch_idx: 150 | Loss: 0.9406 | Accuracy: 62
	Batch_idx: 200 | Loss: 0.9272 | Accuracy: 60
	Batch_idx: 250 | Loss: 1.1699 | Accuracy: 50
	Batch_idx: 300 | Loss: 0.9305 | Accuracy: 57
	Batch_idx: 350 | Loss: 1.0357 | Accuracy: 47
	Batch_idx: 400 | Loss: 1.0255 | Accuracy: 55
	Batch_idx: 450 | Loss: 0.0726 | Accuracy: 98
	Batch_idx: 500 | Loss: 0.5010 | Accuracy: 84
	Batch_idx: 550 | Loss: 0.4534 | Accuracy: 86
	Batch_idx: 600 | Loss: 0.3932 | Accuracy: 83
	Batch_idx: 650 | Loss: 0.0293 | Accuracy: 100
	Batch_idx: 700 | Loss: 0.0928 | Accuracy: 97
	Batch_idx: 750 | Loss: 0.1092 | Accuracy: 96
	Batch_idx: 800 | Loss: 0.0316 | Accuracy: 99
	Batch_idx: 850 | Loss: 0.0707 | Accuracy: 97
	Batch_idx: 900 | Loss: 0.0984 | Accuracy: 98
	Batch_idx: 950 | Loss: 0.1601 | Accuracy: 95
	Batch_idx: 1000 | Loss: 0.2406 | Accuracy: 89
	Batch_idx: 1050 | Loss: 0.1891 | Accuracy: 94
	Batch_idx: 1100 | Loss: 0.1568 | Accuracy: 96
	Batch_idx: 1150 | Loss: 0.2377 | Accuracy: 90
	Batch_idx: 1200 | Loss: 0.1653 | Accuracy: 96
	Batch_idx: 1250 | Loss: 0.3318 | Accuracy: 87
	Batch_idx: 1300 | Loss: 0.4873 | Accuracy: 88
	Batch_idx: 1350 | Loss: 0.0008 | Accuracy: 100
	Batch_idx: 1400 | Loss: 0.0126 | Accuracy: 100
	Batch_idx: 1450 | Loss: 0.6761 | Accuracy: 77
	Batch_idx: 1500 | Loss: 0.7239 | Accuracy: 78
	Batch_idx: 1550 | Loss: 0.6998 | Accuracy: 74
	Batch_idx: 1600 | Loss: 0.7803 | Accuracy: 70
	Batch_idx: 1650 | Loss: 0.7234 | Accuracy: 75
	Batch_idx: 1700 | Loss: 0.7883 | Accuracy: 70
	Batch_idx: 1750 | Loss: 0.1461 | Accuracy: 96
	Batch_idx: 1800 | Loss: 0.2060 | Accuracy: 97
	Batch_idx: 1850 | Loss: 0.2565 | Accuracy: 93
	Batch_idx: 1900 | Loss: 0.4350 | Accuracy: 90
	Batch_idx: 1950 | Loss: 0.2174 | Accuracy: 93
	Batch_idx: 2000 | Loss: 0.1468 | Accuracy: 96
	Batch_idx: 2050 | Loss: 0.3849 | Accuracy: 88
	Batch_idx: 2100 | Loss: 0.4402 | Accuracy: 86
	Batch_idx: 2150 | Loss: 0.5191 | Accuracy: 84
